"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"1","State","""Kaushalya"" the Skill University","Mahatma Gandhi Labour Institute (MGLI), Drive-in Road, Memnagar, Ahmedabad","380052","Gujarat","2(f)"
"2","Private","A.K.S. University","SherGanj, Satna","485001","Madhya Pradesh","2(f)"
"3","Private","A.P.G. (Alakh Prakash Goyal) Shimla University","Shogi- Mehli Bypass Road, Shimla, H.P 171013","171009","Himachal Pradesh","2(f)"
"4","State","A.P.J. Abdul Kalam Technological University","CET Campus, Alathara RdAmbady Nagar,Thiruvananthapuram","695016","Kerala","2(f)"
"5","Private","AAFT University of Media and Arts","Vill-Maath, Tehsil-Tilda, Dist-Raipur","493225","Chhattisgarh","2(f)"
"6","Private","Abhilashi University","Chailchowk (Chaichiot)Tehsil chachyot, distt. Mandi","175045","Himachal Pradesh","2(f)"
"7","Private","Abhyuday University","Garam Magriya, Khandwa Road, Khargone","451001","Madhya Pradesh","2(f)"
"8","Deemed to be Universities","Academy of Maritime Education and Training","135, East Coast Road, Kanathur","603112","Tamil Nadu","Section-III"
"9","State","Acharaya N.G.Ranga Agricultural University","Amaravathi Road,Lam, Guntur","522034","Andhra Pradesh","2(f)"
"10","State","Acharya Nagarjuna University","NH16,Nagarjuna Nagar,Guntur","522510","Andhra Pradesh","2(f) & 12(B)"
"11","State","Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya","Kumarganj, FaizabadAyodhya","224229","Uttar Pradesh","2(f) & 12(B)"
"12","Private","Adamas University","Barasat - Barrackpore Road, Barberia, PO Jagannathpur, PS Barasat, Kolkata","700126","West Bengal","2(f)"
"13","Private","Adani University","Shantigram Township, Near Vaishnodevi Circle, Ahmedabad","382421","Gujarat","2(f)"
"14","Private","Adesh University","NH-7, Barnala Road, Bhucho, BathindaBathinda","151101","Punjab","2(f)"
"15","Private","Adichunchanagiri University","Campus: NH-75, Tq- Nagamangala, Dist- Mandya, B.G. Nagara- 571448   Off-Campus: BGS Vijnatham South Campus, Nagaruru, Dasanapura, Bangalore North-562123","571448","Karnataka","2(f)"
"16","State","Adikavi Nannaya University","Raja Raja Nagar, Rajamahendravaram,","533296","Andhra Pradesh","2(f) & 12(B)"
